id point;x;y;z
1;978000.499544;6561999.50081;622.780029297
2;978011.48952;6561599.86534;629.572998047
3;978000.499544;6561597.86716;629.562988281
4;978002.497722;6561626.84074;621.606994629
5;978005.494988;6561616.84985;622.656982422
6;978004.495899;6561608.85714;626.369995117
7;978007.493165;6561610.85532;625.591003418
8;978179.336414;6561603.8617;631.216003418
9;978499.044785;6561999.50081;625.37097168
10;978499.044785;6561591.87263;632.711975098
11;978499.044785;6561633.83436;624.513977051
12;978499.044785;6561608.85714;626.320007324
13;978499.044785;6561619.84712;626.176025391
14;978499.044785;6561624.84256;625.015991211
15;978349.181486;6561615.85076;634.309020996
16;978493.050253;6561591.87263;633.080993652
17;978497.046607;6561609.85623;626.239013672
18;978498.045696;6561616.84985;626.125976563
19;978414.122249;6561615.85076;627.721008301
20;978467.073948;6561626.84074;624.466003418
21;978477.064834;6561613.85258;626.161987305
22;978481.061189;6561615.85076;626.460021973
23;978487.055721;6561621.84529;625.375
24;978479.063012;6561623.84347;625.62097168
25;978482.060278;6561625.84165;624.658996582
26;978489.053898;6561629.838;625.130981445
27;978481.061189;6561628.83891;624.393981934
28;978474.067568;6561625.84165;624.573974609
29;978477.064834;6561626.84074;624.99798584
30;978475.066657;6561626.84074;624.538024902
31;978478.063923;6561627.83982;624.906005859
32;978474.067568;6561618.84803;625.969970703
33;978476.065746;6561620.8462;625.479980469
34;978479.063012;6561620.8462;626.148010254
35;978481.061189;6561621.84529;626.132019043
36;978472.069391;6561621.84529;625.005004883
37;978429.108579;6561618.84803;625.898986816
38;978435.103111;6561618.84803;626.682006836
39;978448.091263;6561605.85987;632.231994629
40;978456.083972;6561613.85258;626.330993652
41;978443.09582;6561620.8462;625.612976074
42;978444.094909;6561614.85167;626.708007813
43;978441.097643;6561612.85349;628.020996094
44;978442.096731;6561616.84985;626.508972168
45;978425.112224;6561614.85167;628.62902832
46;978429.108579;6561616.84985;626.943969727
47;978428.10949;6561617.84894;626.281005859
48;978436.102199;6561614.85167;627.856018066
49;978440.098554;6561611.85441;628.677978516
50;978438.100377;6561609.85623;629.598999023
51;978431.106756;6561613.85258;628.734985352
52;978432.105845;6561615.85076;627.53302002
53;978430.107667;6561611.85441;629.961975098
54;978422.114958;6561613.85258;629.414978027
55;978435.103111;6561607.85805;629.760009766
56;978433.104933;6561610.85532;629.70098877
57;978436.102199;6561609.85623;629.29498291
58;978442.096731;6561606.85896;631.486999512
59;978459.081238;6561601.86352;633.364990234
60;978473.06848;6561611.85441;626.375976563
61;978473.06848;6561617.84894;626.125976563
62;978466.074859;6561618.84803;625.916015625
63;978467.073948;6561612.85349;627.278991699
64;978470.071214;6561614.85167;626.119018555
65;978467.073948;6561615.85076;626.099975586
66;978463.077593;6561613.85258;626.093994141
67;978462.078504;6561612.85349;626.241027832
68;978461.079416;6561609.85623;628.687011719
69;978458.08215;6561605.85987;631.418029785
70;978456.083972;6561603.8617;632.200012207
71;978455.084884;6561605.85987;631.596008301
72;978464.076682;6561610.85532;627.633972168
73;978462.078504;6561607.85805;630.132019043
74;978467.073948;6561607.85805;630.018005371
75;978486.056632;6561595.86899;631.901977539
76;978472.069391;6561598.86625;633.07800293
77;978473.06848;6561606.85896;629.836975098
78;978476.065746;6561611.85441;626.435974121
79;978480.0621;6561605.85987;629.314025879
80;978490.052987;6561610.85532;626.429992676
81;978490.052987;6561601.86352;630.197998047
82;978493.050253;6561600.86443;630.573974609
83;978496.047519;6561596.86808;630.921020508
84;978485.057544;6561603.8617;629.265014648
85;978481.061189;6561609.85623;627.762023926
86;978478.063923;6561608.85714;628.197998047
87;978491.052075;6561618.84803;626.062988281
88;978492.051164;6561622.84438;625.192016602
89;978488.054809;6561617.84894;625.861022949
90;978478.063923;6561603.8617;629.978027344
91;978487.055721;6561593.87081;632.653991699
92;978493.050253;6561595.86899;631.806030273
93;978466.074859;6561599.86534;633.536010742
94;978483.059366;6561594.8699;632.838012695
95;978460.080327;6561597.86716;634.755981445
96;978458.08215;6561600.86443;633.833007813
97;978454.085795;6561602.86261;632.841003418
98;978448.091263;6561604.86079;632.802001953
99;978445.093997;6561603.8617;633.211975098
100;978438.100377;6561606.85896;630.390991211
101;978437.101288;6561604.86079;630.723999023
102;978429.108579;6561609.85623;631.026977539
103;978422.114958;6561612.85349;630.150024414
104;978427.110401;6561609.85623;631.109985352
105;978433.104933;6561606.85896;630.242004395
106;978414.122249;6561608.85714;632.236022949
107;978414.122249;6561611.85441;631.054016113
108;978417.119515;6561610.85532;631.619995117
109;978386.147766;6561615.85076;631.434997559
110;978389.145032;6561611.85441;632.039978027
111;978402.133185;6561613.85258;630.890014648
112;978395.139564;6561614.85167;630.611022949
113;978398.13683;6561615.85076;629.539978027
114;978406.12954;6561615.85076;628.95098877
115;978414.122249;6561616.84985;626.971008301
116;978409.126805;6561615.85076;628.106994629
117;978412.124071;6561611.85441;631.25402832
118;978421.115869;6561647.8216;624.242004395
119;978488.054809;6561630.83709;625.026977539
120;978482.060278;6561632.83527;624.408996582
121;978448.091263;6561641.82707;624.809020996
122;978499.044785;6561993.50627;625.697998047
123;978499.044785;6561823.6612;626.702026367
124;978180.335503;6561618.84803;623.086975098
125;978062.443041;6561608.85714;631.815002441
126;978027.474938;6561598.86625;630.955993652
127;978012.488608;6561614.85167;623.023986816
128;978011.48952;6561608.85714;626.359008789
129;978020.481317;6561602.86261;628.75
130;978016.484963;6561608.85714;626.369018555
131;978042.461268;6561604.86079;631.591003418
132;978028.474027;6561617.84894;623.192993164
133;978027.474938;6561608.85714;627.58001709
134;978031.471293;6561601.86352;630.130981445
135;978032.470381;6561600.86443;630.653991699
136;978047.456711;6561604.86079;632.041992188
137;978043.460357;6561613.85258;628.710998535
